NetBSD kernel,," Debian GNU/NetBSD),",The NetBSD Project," ELF, others - platform dependent"," monolithic, anykernel using rump kernel architecture"," PF, NPF",yes,yes,yes," Xen, chroot"," Unix permissions"," DDB, KGDB, tprof",POSIX real-time scheduling extensions,Kernel preemption,dunno
NetWare kernel,,NetWare,Novell,NLM,hybrid,yes,yes,no,yes,dunno,dunno,dunno,dunno,dunno,dunno
OpenBSD kernel,,OpenBSD,OpenBSD developers," ELF, others - platform dependent",monolithic,PF,yes,yes,yes,dunno,Unix permissions,dunno,dunno,dunno,dunno
OS/2 kernel,,OS/2 version 2 and above,IBM,LX,hybrid,no,yes,no PowerPC version developed but never officially released.,yes,no,yes,yes,yes,no,dunno
Plan 9 kernel,,Plan 9 from Bell Labs,Bell Labs,dunno,hybrid,ipmux,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno
ReactOS kernel,,ReactOS,ReactOS Foundation," PE, others?",hybrid,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno
Rockbox kernel,,Rockbox,The Rockbox Project,dunno,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno
SunOS kernel,,SunOS,Sun Microsystems,a.out,monolithic,dunno,yes,yes,yes,dunno,Unix permissions,dunno,dunno,dunno,dunno
Solaris kernel,," Solaris, Nexenta OS)",Sun Microsystems,ELF (32-bit only untilSolaris 7 in 1998),monolithic,IPFilter,yes,yes,yes," Zones, chroot"," Unix permissions, ACL, Privileges, Zones, Trusted Extensions"," DTrace, CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb",Real-time scheduler,dunno,dunno
Trix kernel,,Trix,Massachusetts Institute of Technology,a.out,monolithic,dunno,yes,no,yes,dunno,dunno,dunno,dunno,dunno,dunno
Windows NT kernel [http://www.microsoft.com/windows],," 2000,XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10",Microsoft," PE, others?",hybrid,yes,yes,yes,yes,Hyper-V,ACL,Event Tracing,Multimedia Class Scheduler Service,no,unofficial
Darwin kernel) [http://opensource.apple.com/source/xnu/]," C, C++"," OpenDarwin, PureDarwin GNU/Darwin",Apple Inc.,Mach-O,hybrid," PF (starting in Lion)",yes,yes,yes,chroot," Unix permissions, NT/NFSv4 ACLs, TrustedBSD MAC, OpenBSM"," KDB, DDB, DTrace",yes,no,yes
SPARTAN kernel [http://www.helenos.eu/],,HelenOS,Jakub Jermar,ELF,microkernel,dunno,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno
Kernel name,,Used in,Creator,Executableformat(also seesectionbelow),Type,Integrated firewall,SMP support,Multiple architecturesupport(also seesection below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT
